Steps	Token	MedianRank	MeanSurprisal	StdevSurprisal	MeanNegSurprisal	StdevNegSurprisal	Accuracy	NumExamples
400000	a	0	0.8337447643280029	1.5890389680862427	17.62399673461914	5.563462257385254	0.8125	512
400000	by	0	1.1674399375915527	2.212850570678711	18.552471160888672	5.3277106285095215	0.76953125	512
400000	constraint	2227	17.747581481933594	nan	29.888017654418945	nan	0.0	1
400000	exploring	22	7.435817241668701	nan	16.559019088745117	nan	0.0	1
400000	fined	0	0.023148272186517715	nan	28.123924255371094	nan	1.0	1
400000	of	0	0.3525241017341614	0.9420149922370911	16.923999786376953	5.024759292602539	0.9375	512
400000	sob	1530	14.673415184020996	nan	23.160661697387695	nan	0.0	1
400000	the	0	0.4308652877807617	0.825524628162384	15.565717697143555	5.871764183044434	0.923828125	512
400000	variable	12677	20.32855796813965	nan	25.946109771728516	nan	0.0	1
400000	with	0	1.2457575798034668	1.8741755485534668	17.640213012695312	5.770903587341309	0.724609375	512
500000	a	0	0.8169699907302856	1.5574324131011963	17.924232482910156	5.593642711639404	0.8203125	512
500000	by	0	1.0491828918457031	2.082533597946167	18.309919357299805	5.420122146606445	0.791015625	512
500000	constraint	1419	15.9215726852417	nan	29.891530990600586	nan	0.0	1
500000	exploring	134	11.706032752990723	nan	18.18244171142578	nan	0.0	1
500000	fined	0	0.1290460079908371	nan	27.81807518005371	nan	1.0	1
500000	of	0	0.3381965458393097	0.981815755367279	16.889055252075195	5.0994462966918945	0.9453125	512
500000	sob	1746	15.603575706481934	nan	21.926532745361328	nan	0.0	1
500000	the	0	0.4021458029747009	0.790952742099762	15.918048858642578	5.852939128875732	0.92578125	512
500000	variable	9497	18.487653732299805	nan	24.934328079223633	nan	0.0	1
500000	with	0	1.2072954177856445	1.7909040451049805	17.63821029663086	5.720053672790527	0.7265625	512
600000	a	0	0.8132201433181763	1.5178823471069336	17.927553176879883	5.474465370178223	0.826171875	512
600000	by	0	1.0491276979446411	2.1241233348846436	18.56451988220215	5.370843410491943	0.78125	512
600000	constraint	871	14.526792526245117	nan	29.882911682128906	nan	0.0	1
600000	exploring	64	10.662235260009766	nan	19.27594757080078	nan	0.0	1
600000	fined	0	0.01336187869310379	nan	28.43444061279297	nan	1.0	1
600000	of	0	0.3267316222190857	1.0139061212539673	17.18215560913086	5.019604206085205	0.943359375	512
600000	sob	3127	17.900087356567383	nan	24.46185874938965	nan	0.0	1
600000	the	0	0.40585431456565857	0.8495638966560364	15.532646179199219	5.790034770965576	0.919921875	512
600000	variable	5359	18.579484939575195	nan	27.022464752197266	nan	0.0	1
600000	with	0	1.2145320177078247	1.7703551054000854	18.041866302490234	5.700427055358887	0.73046875	512
700000	a	0	0.825169026851654	1.5703177452087402	18.193378448486328	5.515743732452393	0.81640625	512
700000	by	0	1.003739833831787	2.0359585285186768	18.761383056640625	5.446099758148193	0.8046875	512
700000	constraint	1196	15.712274551391602	nan	29.886459350585938	nan	0.0	1
700000	exploring	54	9.721848487854004	nan	17.498937606811523	nan	0.0	1
700000	fined	0	0.027869034558534622	nan	29.85329246520996	nan	1.0	1
700000	of	0	0.2863547205924988	0.8790198564529419	17.369342803955078	4.9802961349487305	0.94921875	512
700000	sob	1621	15.57155990600586	nan	21.495952606201172	nan	0.0	1
700000	the	0	0.3700847029685974	0.7836323380470276	15.78536605834961	5.8526434898376465	0.9296875	512
700000	variable	5624	17.343446731567383	nan	25.498411178588867	nan	0.0	1
700000	with	0	1.1788660287857056	1.7420380115509033	18.306819915771484	5.769661903381348	0.734375	512
800000	a	0	0.7794735431671143	1.5866554975509644	17.787281036376953	5.612607002258301	0.841796875	512
800000	by	0	0.990878701210022	2.0504097938537598	18.672077178955078	5.414058208465576	0.802734375	512
800000	constraint	1053	15.124359130859375	nan	29.895187377929688	nan	0.0	1
800000	exploring	19	7.497055530548096	nan	17.358062744140625	nan	0.0	1
800000	fined	0	0.05511264503002167	nan	29.784536361694336	nan	1.0	1
800000	of	0	0.3001423478126526	0.9272185564041138	17.032894134521484	5.0207905769348145	0.9453125	512
800000	sob	2042	16.06610107421875	nan	22.17191505432129	nan	0.0	1
800000	the	0	0.4246452748775482	0.8639347553253174	15.937277793884277	5.753635406494141	0.916015625	512
800000	variable	8090	18.1710262298584	nan	26.929603576660156	nan	0.0	1
800000	with	0	1.275147795677185	1.8672748804092407	18.296422958374023	5.81239652633667	0.720703125	512
900000	a	0	0.7967813611030579	1.5576839447021484	18.174564361572266	5.588928699493408	0.837890625	512
900000	by	0	1.0505002737045288	2.123713254928589	18.59866714477539	5.459843635559082	0.798828125	512
900000	constraint	921	14.681133270263672	nan	29.89030647277832	nan	0.0	1
900000	exploring	53	9.943946838378906	nan	16.026334762573242	nan	0.0	1
900000	fined	0	0.029179662466049194	nan	29.024715423583984	nan	1.0	1
900000	of	0	0.29637283086776733	0.900084376335144	17.26749610900879	4.952890872955322	0.951171875	512
900000	sob	2054	16.485809326171875	nan	22.33983039855957	nan	0.0	1
900000	the	0	0.3976318836212158	0.8445558547973633	15.941764831542969	5.842884540557861	0.9296875	512
900000	variable	6500	17.889270782470703	nan	25.183408737182617	nan	0.0	1
900000	with	0	1.093828558921814	1.689898133277893	18.1893367767334	5.782623767852783	0.763671875	512
1000000	a	0	0.8116849064826965	1.5864170789718628	18.281158447265625	5.647421360015869	0.826171875	512
1000000	by	0	0.9954503774642944	2.045555830001831	18.7513427734375	5.444333076477051	0.791015625	512
1000000	constraint	586	13.689050674438477	nan	29.89581871032715	nan	0.0	1
1000000	exploring	29	8.72492504119873	nan	15.88344669342041	nan	0.0	1
1000000	fined	0	0.02957572415471077	nan	28.372987747192383	nan	1.0	1
1000000	of	0	0.28935036063194275	0.8719978332519531	17.322175979614258	4.978390216827393	0.9453125	512
1000000	sob	1519	15.067855834960938	nan	22.573854446411133	nan	0.0	1
1000000	the	0	0.37462469935417175	0.7742128968238831	15.747190475463867	5.741537094116211	0.927734375	512
1000000	variable	6547	18.073440551757812	nan	25.222881317138672	nan	0.0	1
1000000	with	0	1.0790373086929321	1.6733680963516235	18.19695281982422	5.820394039154053	0.76171875	512
1100000	a	0	0.8091742992401123	1.560049057006836	18.548765182495117	5.6067728996276855	0.822265625	512
1100000	by	0	0.9561300873756409	2.0430662631988525	19.028173446655273	5.4234299659729	0.8046875	512
1100000	constraint	1042	15.368379592895508	nan	29.895362854003906	nan	0.0	1
1100000	exploring	39	9.087481498718262	nan	17.37188148498535	nan	0.0	1
1100000	fined	0	0.053202394396066666	nan	29.625587463378906	nan	1.0	1
1100000	of	0	0.28855764865875244	0.9492823481559753	17.444087982177734	4.965665817260742	0.9453125	512
1100000	sob	2611	16.98740005493164	nan	24.967754364013672	nan	0.0	1
1100000	the	0	0.36136770248413086	0.7969845533370972	16.011198043823242	5.955722332000732	0.921875	512
1100000	variable	7271	18.120983123779297	nan	24.14643669128418	nan	0.0	1
1100000	with	0	1.1328457593917847	1.8000890016555786	18.336963653564453	5.735952854156494	0.751953125	512
1200000	a	0	0.7385560274124146	1.466140627861023	18.334497451782227	5.606497287750244	0.845703125	512
1200000	by	0	0.8844999670982361	1.955312728881836	18.719676971435547	5.45379114151001	0.82421875	512
1200000	constraint	1102	16.01838493347168	nan	29.896211624145508	nan	0.0	1
1200000	exploring	53	10.344185829162598	nan	19.31659507751465	nan	0.0	1
1200000	fined	0	0.03793210908770561	nan	29.512042999267578	nan	1.0	1
1200000	of	0	0.2810884714126587	0.9002268314361572	17.397724151611328	5.075453281402588	0.955078125	512
1200000	sob	2901	17.90492057800293	nan	26.15888786315918	nan	0.0	1
1200000	the	0	0.37541306018829346	0.8031882047653198	15.926715850830078	5.811296463012695	0.92578125	512
1200000	variable	7749	19.081439971923828	nan	29.154048919677734	nan	0.0	1
1200000	with	0	1.043365478515625	1.67138671875	18.147811889648438	5.765116214752197	0.77734375	512
1300000	a	0	0.7509679794311523	1.503385305404663	18.161151885986328	5.621165752410889	0.845703125	512
1300000	by	0	0.9241248965263367	1.8891364336013794	18.856843948364258	5.444894790649414	0.81640625	512
1300000	constraint	1345	16.004413604736328	nan	29.89483070373535	nan	0.0	1
1300000	exploring	106	12.731287956237793	nan	18.991174697875977	nan	0.0	1
1300000	fined	0	0.05102381855249405	nan	29.814830780029297	nan	1.0	1
1300000	of	0	0.30016788840293884	0.9523746967315674	17.536909103393555	4.969101905822754	0.94140625	512
1300000	sob	2448	17.34315299987793	nan	24.331907272338867	nan	0.0	1
1300000	the	0	0.3900405168533325	0.7955922484397888	16.059457778930664	5.751204967498779	0.92578125	512
1300000	variable	8056	18.485397338867188	nan	28.721677780151367	nan	0.0	1
1300000	with	0	1.0412741899490356	1.6468313932418823	18.379398345947266	5.823029518127441	0.759765625	512
1400000	a	0	0.710861325263977	1.460369348526001	18.5532169342041	5.757533073425293	0.8515625	512
1400000	by	0	0.8975304365158081	1.8913224935531616	18.853412628173828	5.550361633300781	0.80859375	512
1400000	constraint	785	14.763421058654785	nan	29.896888732910156	nan	0.0	1
1400000	exploring	46	9.824236869812012	nan	18.051584243774414	nan	0.0	1
1400000	fined	0	0.008310962468385696	nan	29.758005142211914	nan	1.0	1
1400000	of	0	0.29001861810684204	0.9224461317062378	17.71202850341797	5.037858486175537	0.9453125	512
1400000	sob	3442	18.132600784301758	nan	25.830036163330078	nan	0.0	1
1400000	the	0	0.4059372544288635	0.8972840309143066	16.337377548217773	5.881960868835449	0.916015625	512
